day,bucket,realized_makespan,GA,SBOA,dMShOA,dPSO,best_opt
2022-06-10,20,676.1833333333333,438.2883333333333,451.13499999999993,457.0133333333333,422.8833333333333,422.8833333333333
2022-06-13,20,619.85,676.7466666666667,696.0033333333333,722.8149999999999,649.5483333333334,649.5483333333334
2022-06-15,25,623.65,588.3833333333333,595.75,613.5600000000001,568.9883333333333,568.9883333333333
2022-07-13,15,686.65,604.645,588.5533333333333,605.575,579.4916666666666,579.4916666666666
2022-08-05,30,669.3833333333333,526.9716666666666,525.2383333333333,551.4583333333333,509.735,509.735
2022-08-08,30,708.7666666666667,627.5533333333333,556.7483333333333,597.1266666666667,549.605,549.605
2022-09-20,20,541.65,477.985,511.3616666666667,501.08000000000004,461.3666666666666,461.3666666666666
2022-10-04,25,710.9,603.27,601.745,582.6716666666666,543.3983333333333,543.3983333333333
2022-10-05,30,698.7333333333333,674.8966666666666,683.3133333333333,678.325,632.2433333333333,632.2433333333333
2022-10-07,30,691.9333333333333,616.68,584.7516666666667,579.745,541.4983333333333,541.4983333333333
2022-10-11,25,584.95,591.9766666666667,588.6716666666666,642.0433333333333,579.02,579.02
2022-10-17,30,719.9666666666667,614.7483333333333,604.5899999999999,592.735,609.6533333333333,592.735
2022-10-27,30,759.5,873.1983333333334,873.805,929.9716666666667,857.4433333333333,857.4433333333333
2022-11-08,25,700.7666666666667,598.7533333333333,591.2783333333333,618.5583333333333,579.72,579.72
2022-11-09,30,697.4333333333333,690.0083333333333,703.7516666666667,736.3583333333333,695.7333333333333,690.0083333333333
2022-11-11,30,755.6166666666667,729.1283333333333,674.2066666666667,698.0166666666667,621.5633333333333,621.5633333333333
2022-11-22,25,817.4166666666666,737.9583333333333,700.635,803.275,749.3566666666667,700.635
2022-11-28,20,637.4,534.9300000000001,532.5833333333333,535.8083333333333,525.3283333333333,525.3283333333333
2022-12-15,30,799.05,670.7866666666666,601.615,661.5183333333333,647.5433333333333,601.615
2022-12-19,25,658.3333333333334,713.1233333333333,689.2783333333333,658.5550000000001,608.0516666666666,608.0516666666666
2023-01-17,20,622.0666666666667,612.145,633.0849999999999,670.0933333333334,629.65,612.145
2023-01-26,25,703.1333333333333,623.2916666666666,593.54,618.1666666666667,548.2166666666667,548.2166666666667
2023-01-31,30,704.0,564.3533333333332,538.37,581.9616666666667,534.25,534.25
2023-02-15,25,646.55,546.3116666666667,583.03,567.7016666666666,545.4283333333334,545.4283333333334
2023-02-17,25,751.55,707.2083333333333,660.9783333333332,709.825,667.135,660.9783333333332
2023-02-20,25,664.8,603.7483333333333,545.5699999999999,589.8116666666667,563.835,545.5699999999999
2023-02-27,30,693.9166666666666,608.5566666666666,569.6666666666666,547.2133333333334,586.665,547.2133333333334
2023-03-31,30,688.0833333333334,616.5699999999999,639.0983333333334,679.1949999999999,582.99,582.99
2023-04-15,15,341.18333333333334,259.5733333333334,249.11166666666662,265.01666666666665,251.675,249.11166666666662
2023-05-09,30,737.65,651.15,676.9383333333333,632.8916666666667,614.9683333333334,614.9683333333334
2023-06-01,30,581.45,594.3316666666667,598.71,603.5383333333333,569.1366666666667,569.1366666666667
2023-06-12,25,776.85,818.5166666666667,822.82,849.6033333333332,858.9933333333335,818.5166666666667
2023-06-20,25,629.9833333333333,616.9233333333334,625.2566666666667,608.0016666666667,588.7733333333333,588.7733333333333
2023-07-04,30,653.7333333333333,725.0733333333334,705.9183333333333,710.6866666666667,681.5166666666667,681.5166666666667
2023-07-25,30,810.2833333333333,890.8233333333334,905.1233333333333,955.2916666666666,893.1066666666666,890.8233333333334
2023-09-30,15,457.76666666666665,284.25,284.25,284.25,284.25,284.25
2023-11-07,30,779.7833333333333,681.6433333333333,688.5883333333334,725.6450000000001,637.01,637.01
2023-11-13,30,792.0166666666667,702.54,665.48,696.2566666666667,665.2333333333333,665.2333333333333
2023-11-18,25,561.4666666666667,426.6166666666666,379.9316666666667,417.03166666666664,406.9366666666666,379.9316666666667
2023-12-08,30,391.0,381.38166666666666,347.5516666666667,374.30333333333334,331.685,331.685
2023-12-22,25,685.9333333333333,582.835,569.7533333333333,573.2066666666667,549.3883333333334,549.3883333333334
2023-12-28,30,695.4333333333333,648.7766666666666,611.64,660.9016666666666,574.025,574.025
